grievance_id,title,description,category_name,category_id,department_code,urgency_level,district,state,status,support_count
IND-GRV-1000,Road Damage & Potholes report in Chennai Central,"Road completely broken and uneven after recent heavy rains in Velachery main road, severe danger for two-wheelers. (Ref Ward-190, Chennai Central)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Chennai Central,Tamil Nadu,CLOSED,15
IND-GRV-1001,Road Damage & Potholes report in Chennai South,"Unpaved road construction left incomplete for 3 months causing severe dust pollution in Perungudi. (Ref Ward-189, Chennai South)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Chennai South,Tamil Nadu,RESOLVED,43
IND-GRV-1002,Road Damage & Potholes report in Avadi,"Road completely broken and uneven after recent heavy rains in Velachery main road, severe danger for two-wheelers. (Ref Ward-109, Avadi)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Avadi,Tamil Nadu,RESOLVED,1
IND-GRV-1003,Road Damage & Potholes report in Chennai South,"Road completely broken and uneven after recent heavy rains in Velachery main road, severe danger for two-wheelers. (Ref Ward-60, Chennai South)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Chennai South,Tamil Nadu,RESOLVED,35
IND-GRV-1004,Road Damage & Potholes report in Kanchipuram,"Unpaved road construction left incomplete for 3 months causing severe dust pollution in Perungudi. (Ref Ward-167, Kanchipuram)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Kanchipuram,Tamil Nadu,SUBMITTED,14
IND-GRV-1005,Road Damage & Potholes report in Avadi,"Pothole filled with rainwater causing vehicle damage near Chromepet main road. (Ref Ward-72, Avadi)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Avadi,Tamil Nadu,RESOLVED,10
IND-GRV-1006,Road Damage & Potholes report in Chennai North,"Caved-in road surface near Adyar signal blocking bus lane during peak hours. (Ref Ward-72, Chennai North)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Chennai North,Tamil Nadu,IN_PROGRESS,13
IND-GRV-1007,Road Damage & Potholes report in Chennai Central,"Bitumen surface damaged with multiple deep ruts near Tambaram railway station flyover. (Ref Ward-24, Chennai Central)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Chennai Central,Tamil Nadu,SUBMITTED,6
IND-GRV-1008,Road Damage & Potholes report in Tiruvallur,"Bitumen surface damaged with multiple deep ruts near Tambaram railway station flyover. (Ref Ward-89, Tiruvallur)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Tiruvallur,Tamil Nadu,CLOSED,2
IND-GRV-1009,Road Damage & Potholes report in Avadi,"Pothole filled with rainwater causing vehicle damage near Chromepet main road. (Ref Ward-32, Avadi)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Avadi,Tamil Nadu,SUBMITTED,5
IND-GRV-1010,Road Damage & Potholes report in Tiruvallur,"Missing manhole cover on foot path near Guindy bus stop creates immediate life hazard for pedestrians. (Ref Ward-161, Tiruvallur)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Tiruvallur,Tamil Nadu,CLOSED,36
IND-GRV-1011,Road Damage & Potholes report in Kanchipuram,"Unpaved road construction left incomplete for 3 months causing severe dust pollution in Perungudi. (Ref Ward-18, Kanchipuram)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Kanchipuram,Tamil Nadu,RESOLVED,42
IND-GRV-1012,Road Damage & Potholes report in Tiruvallur,"Unpaved road construction left incomplete for 3 months causing severe dust pollution in Perungudi. (Ref Ward-75, Tiruvallur)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Tiruvallur,Tamil Nadu,RESOLVED,14
IND-GRV-1013,Road Damage & Potholes report in Tambaram,"Road completely broken and uneven after recent heavy rains in Velachery main road, severe danger for two-wheelers. (Ref Ward-72, Tambaram)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Tambaram,Tamil Nadu,SUBMITTED,40
IND-GRV-1014,Road Damage & Potholes report in Chennai South,"Bitumen surface damaged with multiple deep ruts near Tambaram railway station flyover. (Ref Ward-95, Chennai South)",Road Damage & Potholes,roads,DEPT_ROADS,HIGH,Chennai South,Tamil Nadu,CLOSED,13
