pair_id,split,scenario,complaint_a_id,complaint_b_id,category_a,category_b,department_a,department_b,title_a,title_b,desc_a,desc_b,lat_a,lng_a,lat_b,lng_b,image_a,image_b,ground_truth,annotation_source
PAIR_0451,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0451,CP-DEV-B0451,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0339,80.2696,13.023089,80.258503,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0027,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,CP-DEV-A0027,CP-DEV-B0027,roads,roads,roads,roads,Large pothole near main college gate,Large pothole near main college gate,Deep crater on Anna Salai creating hazard for two wheelers.,Deep crater on Anna Salai creating hazard for two wheelers.,13.0694,80.1948,13.0694,80.1948,civic_drainage_011.jpg,civic_drainage_011.jpg,1,ground_truth_verified_same_issue
PAIR_0001,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,CP-DEV-A0001,CP-DEV-B0001,roads,roads,roads,roads,Large pothole near main college gate,Large pothole near main college gate,Deep crater on Anna Salai creating hazard for two wheelers.,Deep crater on Anna Salai creating hazard for two wheelers.,13.0067,80.202,13.0067,80.202,civic_roads_001.jpg,civic_roads_001.jpg,1,ground_truth_verified_same_issue
PAIR_0046,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,CP-DEV-A0046,CP-DEV-B0046,roads,roads,roads,roads,Large pothole near main college gate,Large pothole near main college gate,Deep crater on Anna Salai creating hazard for two wheelers.,Deep crater on Anna Salai creating hazard for two wheelers.,13.0418,80.2341,13.0418,80.2341,civic_infrastructure_051.jpg,civic_infrastructure_051.jpg,1,ground_truth_verified_same_issue
PAIR_0150,DEV,NEAR_DUPLICATE_120M_DECAY,CP-DEV-A0150,CP-DEV-B0150,drainage,drainage,drainage,drainage,Overflowing sewage drain near bus terminal,Clogged sewer pipe overflowing on street,Stinking drain water standing on public walkway.,Stinking drain water spilling near bus stand area.,13.0694,80.1948,13.068319,80.19369,,,1,ground_truth_verified_same_issue
PAIR_0446,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0446,CP-DEV-B0446,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,12.975,80.221,12.964189,80.209906,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0100,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,CP-DEV-A0100,CP-DEV-B0100,water,water,water,water,Major water pipeline burst on 4th Cross Road,Major water pipelne burst on 4th Cros Road,Drinking water flowing onto street causing low supply pressure.,Drinkng water flowing onto street causing low supply.,13.0418,80.2341,13.041485,80.234424,,,1,ground_truth_verified_same_issue
PAIR_0057,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,CP-DEV-A0057,CP-DEV-B0057,roads,roads,roads,roads,Large pothole near main college gate,Deep road damage near college entrance,Deep crater on Anna Salai creating hazard for two wheelers.,Severe broken pavement surface creating danger for vehicles.,13.0339,80.2696,13.03381,80.269508,civic_drainage_011.jpg,civic_drainage_011.jpg,1,ground_truth_verified_same_issue
PAIR_0379,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,CP-DEV-A0379,CP-DEV-B0379,water,water,water,water,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,12.9249,80.1,12.947423,80.076892,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0407,DEV,SAME_DEPT_DIFF_LOC_800M,CP-DEV-A0407,CP-DEV-B0407,garbage,garbage,garbage,garbage,Garbage overflow near market entrance,Garbage dump near residential block B,Trash uncollected for days.,Trash uncollected for days.,13.0339,80.2696,13.026693,80.262202,civic_garbage_021.jpg,civic_garbage_022.jpg,0,ground_truth_verified_different_issue
