pair_id,split,scenario,ground_truth,text_similarity,location_similarity,image_similarity,fused_score,decision,predicted_duplicate
PAIR_0451,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0027,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0001,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0046,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0150,DEV,NEAR_DUPLICATE_120M_DECAY,1,0.4498,0.7919,0.0,0.638,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0446,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0100,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0057,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0379,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0407,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0380,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0307,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0408,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0335,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0495,DEV,DISTANT_NON_DUPLICATE,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0389,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0434,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0244,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0249,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0202,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4939,0.0,0.4646,LOW_CONFIDENCE,0
PAIR_0462,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0112,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0295,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0401,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0254,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0007,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0455,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0382,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0092,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0371,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0142,DEV,NEAR_DUPLICATE_120M_DECAY,1,0.4498,0.792,0.0,0.638,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0356,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0055,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0369,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0412,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0441,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0474,DEV,DISTANT_NON_DUPLICATE,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0273,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
